Core Based Statistical Area (CBSA),Number,Percent
Total,689800,100
"Los Angeles-Long Beach-Anaheim, CA",89900,13
"New York-Newark-Jersey City, NY-NJ-PA",47200,6.8
"Dallas-Fort Worth-Arlington, TX",36700,5.3
"Houston-The Woodlands-Sugar Land, TX",35800,5.2
"Chicago-Naperville-Elgin, IL-IN-WI",34100,5
"Riverside-San Bernardino-Ontario, CA",22300,3.2
"Phoenix-Mesa-Scottsdale, AZ",22000,3.2
"Atlanta-Sandy Springs-Roswell, GA",15700,2.3
"San Francisco-Oakland-Hayward, CA",15500,2.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV",13700,2
"Miami-Fort Lauderdale-West Palm Beach, FL",11400,1.7
"San Diego-Carlsbad, CA",11300,1.6
"Denver-Aurora-Lakewood, CO",10000,1.5
"Las Vegas-Henderson-Paradise, NV",9900,1.4
"San Jose-Sunnyvale-Santa Clara, CA",9400,1.4
"McAllen-Edinburg-Mission, TX",7500,1.1
"Austin-Round Rock, TX",7400,1.1
"Seattle-Tacoma-Bellevue, WA",7300,1.1
"Charlotte-Concord-Gastonia, NC-SC",6200,0.9
"Portland-Vancouver-Hillsboro, OR-WA",6200,0.9
"Fresno, CA",5900,0.9
"Sacramento--Roseville--Arden-Arcade, CA",5900,0.9
"San Antonio-New Braunfels, TX",5600,0.8
"Salt Lake City, UT",5000,0.7
"Bakersfield, CA",4900,0.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4700,0.7
"Boston-Cambridge-Newton, MA-NH",4700,0.7
"Indianapolis-Carmel-Anderson, IN",4600,0.7
"Minneapolis-St. Paul-Bloomington, MN-WI",4600,0.7
"Raleigh, NC",3900,0.6
"Kansas City, MO-KS",3900,0.6
"Oxnard-Thousand Oaks-Ventura, CA",3700,0.5
"Visalia-Porterville, CA",3300,0.5
"Nashville-Davidson--Murfreesboro--Franklin, TN",3300,0.5
"Santa Maria-Santa Barbara, CA",3300,0.5
"Tampa-St. Petersburg-Clearwater, FL",3200,0.5
"Stockton-Lodi, CA",3100,0.5
"Oklahoma City, OK",3100,0.4
"Milwaukee-Waukesha-West Allis, WI",3000,0.4
"Orlando-Kissimmee-Sanford, FL",3000,0.4
"Santa Rosa, CA",2900,0.4
"Modesto, CA",2800,0.4
"Salinas, CA",2800,0.4
"Albuquerque, NM",2800,0.4
"Winston-Salem, NC",2600,0.4
"Detroit-Warren-Dearborn, MI",2400,0.3
"Yakima, WA",2300,0.3
"Durham-Chapel Hill, NC",2300,0.3
"Salem, OR",2300,0.3
"Brownsville-Harlingen, TX",2200,0.3
"Tucson, AZ",2200,0.3
"Memphis, TN-MS-AR",2000,0.3
"Greensboro-High Point, NC",2000,0.3
"Baltimore-Columbia-Towson, MD",2000,0.3
"Bridgeport-Stamford-Norwalk, CT",1900,0.3
"Tulsa, OK",1900,0.3
"El Paso, TX",1900,0.3
"Fayetteville-Springdale-Rogers, AR-MO",1800,0.3
"Reno, NV",1800,0.3
"Columbus, OH",1800,0.3
"Kennewick-Richland, WA",1800,0.3
"Omaha-Council Bluffs, NE-IA",1700,0.3
"Merced, CA",1700,0.3
"Santa Cruz-Watsonville, CA",1700,0.3
"Provo-Orem, UT",1600,0.2
"Birmingham-Hoover, AL",1600,0.2
"Grand Rapids-Wyoming, MI",1600,0.2
"North Port-Sarasota-Bradenton, FL",1500,0.2
"Cape Coral-Fort Myers, FL",1500,0.2
"Gainesville, GA",1500,0.2
"Wichita, KS",1400,0.2
"Greenville-Anderson-Mauldin, SC",1400,0.2
"Providence-Warwick, RI-MA",1300,0.2
"Boise City, ID",1300,0.2
"Vallejo-Fairfield, CA",1300,0.2
"Laredo, TX",1300,0.2
"Ogden-Clearfield, UT",1200,0.2
"Elkhart-Goshen, IN",1200,0.2
"Lakeland-Winter Haven, FL",1200,0.2
"Tyler, TX",1100,0.2
"Richmond, VA",1100,0.2
"Des Moines-West Des Moines, IA",1100,0.2
"Louisville/Jefferson County, KY-IN",1100,0.2
"Naples-Immokalee-Marco Island, FL",1100,0.2
"Madison, WI",1000,0.2
"Cincinnati, OH-KY-IN",1000,0.2
"St. Louis, MO-IL",1000,0.2
"Lexington-Fayette, KY",1000,0.2
Other CBSA,86700,12.6
Non-CBSA,12300,1.8
Not Available,6600,1
